entry_id,violent_external,permanent_scarring,year_scaled,world_region,tip_name
1180,1,0,0.4469650046685113,Southeast Asia,An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.BATAK_ANGKOLA
1192,1,0,0.7682023917111385,Southeast Asia,An.BARITO.KATINGAN
1196,0,0,0.7356130915763792,North America,May.MAYAN.CENTRAL_QUICHE
1210,1,0,0.7449243201863104,Africa,Man.WESTERN_MANDE.MENDE
1220,1,0,0.0996561775180767,Central Eurasia,Alt.MONGOLIC.MONGOLIAN
1227,1,0,-1.7877298617149815,Africa,AA.SEMITIC.SABEAN
1229,0,0,0.7728580060161041,Central Eurasia,ST.CHINESE.MANDARIN
1231,0,0,-0.0185964258280497,East Asia,ST.CHINESE.MANDARIN
1234,1,0,0.7076794057465855,Africa,NC.KWA.TWI_ASANTE
1241,0,0,0.6676411227238812,East Asia,ST.CHINESE.HAKKA
1246,1,0,0.7216462486614823,Africa,ESu.NILOTIC.SHILLUK
1247,0,0,0.7123350200515511,North America,IE.GERMANIC.ENGLISH
1248,0,0,-2.879005854798921,Southwest Asia,AA.SEMITIC.AKKADIAN
1249,0,0,-1.316581694052462,Europe,IE.GREEK.GREEK_ANCIENT
1250,0,0,-0.2513771410763303,Southwest Asia,AA.SEMITIC.IRAQ_MUSLIM_BAGHDAD_ARABIC
1258,1,1,-1.973954433913606,Southwest Asia,AA.SEMITIC.BIBLICAL_HEBREW
1259,0,0,0.0745158602712624,Central Eurasia,ST.CHINESE.MANDARIN
1268,1,1,-0.7076273429629601,Southwest Asia,AA.SEMITIC.SABEAN
1279,1,0,0.4404471446415594,Southeast Asia,An.SOUTH_SULAWESI.MANDAR
1281,1,1,0.7356130915763792,Africa,Krd.HEIBAN.UTORO
1283,1,0,0.3538527185691991,Southeast Asia,An.CELEBIC.WOLIO
1289,1,0,0.3538527185691991,Southeast Asia,An.SOUTH_SULAWESI.BUGINESE
1291,0,0,-1.4152807173177329,East Asia,ST.CHINESE.MIDDLE_CHINESE
1295,1,0,-0.7532523631516231,Africa,IE.ROMANCE.LATIN
1299,1,0,0.7635467774061728,Central Eurasia,IE.SLAVIC.RUSSIAN
1300,1,0,0.810102920455829,North America,IE.ROMANCE.SPANISH
1303,0,0,-2.346403578310855,Southwest Asia,AA.SEMITIC.AKKADIAN
1304,0,0,0.7030237914416199,North America,IE.GERMANIC.ENGLISH
1307,0,0,0.6750901056118263,North America,IE.GERMANIC.ENGLISH
1311,0,0,0.6983681771366543,North America,IE.GERMANIC.ENGLISH
1323,1,0,0.7356130915763792,Africa,NC.BANTOID.LUGURU
1333,0,0,-0.9031631437715156,Europe,IE.GREEK.GREEK_ANCIENT
1335,0,0,0.4236869331436833,Europe,IE.ROMANCE.ITALIAN
1337,1,0,-2.1601790061122306,Southwest Asia,AA.SEMITIC.AMEDYA_ARAMAIC
