ID,Name,Glottocode,Glottolog_Name,Family,classification_wals,classification_ethnologue,classification_glottolog
ACHAGUA,ACHAGUA,acha1250,Achagua,Arawakan,Arw.JAPURA-COLOMBIA,"Maipurean,Northern,UpperAmazon,WesternNawiki,Piapoco","Arawakan,Japura-Colombia,NuclearJapura-Colombia,NortheastJapura-Colombia,Piapoco-Achagua"
ACHANG,ACHANG,acha1249,Longchuan Achang,Sino-Tibetan,ST.BURMESE-LOLO,"Sino-Tibetan,Tibeto-Burman,Ngwi-Burmese,Burmish,Northern","Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Burmish,SouthernBurmish,Achangic"
ACHE,ACHE,ache1246,Aché,Tupian,Tup.MAWETI-GUARANI,"Tupian,Tupi-Guarani,Guarani","Tupian,EasternTupian,Maweti-Guarani,Aweti-Guarani,Tupi-Guarani,SouthernTupi-Guarani,Tupi-GuaraniSubgroupI"
ACHERON,ACHERON,ache1245,Acheron,Narrow Talodi,Krd.TALODI,"Niger-Congo,Kordofanian,Talodi,TalodiProper,Tocho","NarrowTalodi,Buram-Saraf,Acheron-Tocho"
ACHOLI,ACHOLI,acol1236,Acoli,Nilotic,ESu.WESTERN_NILOTIC,"Nilo-Saharan,Satellite-Core,Core,EasternSudanic,Southern(nlanguages),Nilotic,Western,Luo,Southern,Luo-Acholi,Alur-Acholi,Lango-Acholi","Nilotic,WesternNilotic,Lwoo,SouthernLwoo"
ACHOLI_2,ACHOLI_2,acol1236,Acoli,Nilotic,ESu.WESTERN_NILOTIC,"Nilo-Saharan,Satellite-Core,Core,EasternSudanic,Southern(nlanguages),Nilotic,Western,Luo,Southern,Luo-Acholi,Alur-Acholi,Lango-Acholi","Nilotic,WesternNilotic,Lwoo,SouthernLwoo"
ACHUAR,ACHUAR,achu1248,Achuar-Shiwiar,Chicham,Jiv.JIVAROAN,"Jivaroan,Jivaro","Chicham,Shuaric"
ACHUMAWI,ACHUMAWI,achu1247,Achumawi,Palaihnihan,Hok.ACHUMAWI,Palaihnihan,Palaihnihan
ACOMA_KERES,ACOMA_KERES,west2632,Western Keres,Keresan,Ker.KERESAN,Keresan,Keresan
ADANG,ADANG,adan1251,Adang,Timor-Alor-Pantar,GWB.ALOR-PANTAR,"Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Alor","Timor-Alor-Pantar,Alor-Pantar,NuclearAlor-Pantar,WestAlor-Straits-Pantar,WestAlor"
ADANGBE,ADANGBE,adan1248,Adangbe,Atlantic-Congo,NC.GBE,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,LeftBank,Kposo-Ahlo-Bowili","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Gbe,WesternGbe,Eweic"
ADANGBE_2,ADANGBE_2,adan1248,Adangbe,Atlantic-Congo,NC.GBE,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,LeftBank,Kposo-Ahlo-Bowili","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Gbe,WesternGbe,Eweic"
ADANG_PITUNG,ADANG_PITUNG,adan1251,Adang,Timor-Alor-Pantar,GWB.ALOR-PANTAR,"Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Alor","Timor-Alor-Pantar,Alor-Pantar,NuclearAlor-Pantar,WestAlor-Straits-Pantar,WestAlor"
ADELE,ADELE,adel1244,Adele,Atlantic-Congo,NC.NA-TOGO,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Basila-Adele","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Na-Togo,Basila-Adele"
ADENI_ARABIC,ADENI_ARABIC,taiz1242,Ta'izzi-Adeni Arabic,Afro-Asiatic,AA.SEMITIC,"Afro-Asiatic,Semitic,Central,South,Arabic","Afro-Asiatic,Semitic,WestSemitic,CentralSemitic,Arabian,Arabic,ArabianPeninsulaArabic"
ADHOLA,ADHOLA,adho1243,Adhola,Nilotic,ESu.WESTERN_NILOTIC,"Nilo-Saharan,Satellite-Core,Core,EasternSudanic,Southern(nlanguages),Nilotic,Western,Luo,Southern,Adhola","Nilotic,WesternNilotic,Lwoo,SouthernLwoo,Adhola-Alur-Luo,Adhola-Luo"
ADILABAD_GONDI,ADILABAD_GONDI,utno1237,Adilabad Gondi,Dravidian,Dra.DRAVIDIAN,"Dravidian,South-Central,Gondi-Kui,Gondi","Dravidian,SouthDravidian,SouthDravidianII,Gondi,NorthwestGondi,SouthwestGondi,SouthernGondi"
ADIOUKROU,ADIOUKROU,adio1239,Adioukrou,Atlantic-Congo,NC.AGNEBY,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Agneby","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Agneby"
ADIOUKROU_2,ADIOUKROU_2,adio1239,Adioukrou,Atlantic-Congo,NC.AGNEBY,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Agneby","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Agneby"
ADIWASI_GARASIA,ADIWASI_GARASIA,adiw1235,Adiwasi Garasia,Indo-European,IE.INDIC,"Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Bhil","Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,ContinentalIndo-Aryan,MidlandsIndo-Aryan,Bhil,GarasiaBhil"
ADI_GALO,ADI_GALO,galo1242,Galo,Sino-Tibetan,ST.TANI,"Sino-Tibetan,Tibeto-Burman,CentralTibeto-Burman,Tani","Sino-Tibetan,Macro-Tani,Tani,Pre-WesternTani,WesternTani,Subansiri"
ADNYAMATHANHA,ADNYAMATHANHA,adny1235,Adnyamathanha,Pama-Nyungan,PN.CENTRAL_PAMA-NYUNGAN,"Australian,Pama-Nyungan,South-West,Yura","Pama-Nyungan,Arandic-Thura-Yura,Thura-Yura,CoreThuraYura,NorthernThura-Yura"
ADNYAMATHANHA_2,ADNYAMATHANHA_2,adny1235,Adnyamathanha,Pama-Nyungan,PN.CENTRAL_PAMA-NYUNGAN,"Australian,Pama-Nyungan,South-West,Yura","Pama-Nyungan,Arandic-Thura-Yura,Thura-Yura,CoreThuraYura,NorthernThura-Yura"
ADONARA,ADONARA,adon1237,Adonara,Austronesian,An.CENTRAL_MALAYO-POLYNESIAN,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,Bima-Lembata","Austronesian,Malayo-Polynesian,Bima-Lembata,Flores-Lembata,LamaholotBarat,NorthLembata-Adonara"
ADORA,ADORA,airo1242,Airoran,Greater Kwerba,TKw.KWERBA,"Tor-Kwerba,GreaterKwerba,Kwerba,WestCoast","GreaterKwerba,Kwerba-Samarokena,Samarokena-Airoran"
ADUMANIS_ULU_KOMERING,ADUMANIS_ULU_KOMERING,kome1238,Komering,Austronesian,An.LAMPUNGIC,"Austronesian,Malayo-Polynesian,Lampung","Austronesian,Malayo-Polynesian,Lampungic,Pesisir"
ADYGHE,ADYGHE,adyg1241,West Circassian,Abkhaz-Adyge,NWC.NORTHWEST_CAUCASIAN,"Abkhaz-Adyghe,Circassian","Abkhaz-Adyge,Circassian"
ADYGHE_2,ADYGHE_2,adyg1241,West Circassian,Abkhaz-Adyge,NWC.NORTHWEST_CAUCASIAN,"Abkhaz-Adyghe,Circassian","Abkhaz-Adyge,Circassian"
ADZERA,ADZERA,adze1240,Adzera,Austronesian,An.OCEANIC,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceanic,NorthNewGuinea,HuonGulf,Markham,Upper","Austronesian,Malayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceaniclinkage,NorthNewGuinealinkage,HuonGulf,Markham,UpperMarkham"
