entry_id,entrytag_name,entrytag_level,ID,Glottocode,tip_name
711,Kwoma,4,KWOMA,kwom1262,Sep.MIDDLE_SEPIK.KWOMA
712,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
713,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
714,Tamil,13,TAMIL,tami1289,Dra.SOUTHERN_DRAVIDIAN.TAMIL
717,Igbo,7,ECHIE,nucl1417,NC.IGBOID.ECHIE
721,Batek,9,BATEK_NONG,bate1262,AuA.ASLIAN.BATEK_NONG
722,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
723,Trumai,3,TRUMAI,trum1247,Tru.TRUMAI.TRUMAI
724,Portuguese,17,PORTUGUESE,port1283,IE.ROMANCE.PORTUGUESE
726,Sanskrit,6,SANSKRIT,sans1269,IE.INDIC.SANSKRIT
727,Chru,11,CHRU,chru1239,An.MALAYO_SUMBAWAN.CHRU
728,Sowa,11,SOWA,sowa1244,An.OCEANIC.SOWA
729,Kikuyu,13,GIKUYU,kiku1240,NC.BANTOID.GIKUYU
732,North Marquesan,17,NORTH_MARQUESAN,nort2845,An.OCEANIC.NORTH_MARQUESAN
733,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
736,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
737,Nama (Namibia),6,NAMA,nama1264,KK.KHOE_KWADI.NAMA
739,Nakanai,11,MAUTUTU,naka1262,An.OCEANIC.MAUTUTU
742,Northern Thai,13,LAMPANG_THAI,nort2740,TK.KAM_TAI.LAMPANG_THAI
745,Halia,16,HALIA,hali1244,An.OCEANIC.HALIA
748,Lamet,6,LAMPANGLAMET,lame1256,AuA.PALAUNG_KHMUIC.LAMPANGLAMET
749,Korean,3,KOREAN,kore1280,Kor.KOREAN.KOREAN
750,Mekeo,13,MEKEO,meke1243,An.OCEANIC.MEKEO
751,Vietnamese,5,VIETNAMESE_3,viet1252,AuA.VIET_MUONG.VIETNAMESE_3
755,Uighur,8,UYGHUR,uigh1240,Alt.TURKIC.UYGHUR
757,Gilbertese,10,KIRIBATI,gilb1244,An.OCEANIC.KIRIBATI
759,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
760,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
763,Maori,16,SOUTH_ISLAND_MAORI,maor1246,An.OCEANIC.SOUTH_ISLAND_MAORI
765,Oneida,5,ONEIDA,onei1249,Iro.NORTHERN_IROQUOIAN.ONEIDA
766,Garo,5,GARO,garo1247,ST.BODO_GARO.GARO
768,Mundurukú,4,MUNDURUKU,mund1330,Tup.MUNDURUKU.MUNDURUKU
769,Wogeo,13,WOGEO,woge1237,An.OCEANIC.WOGEO
770,Northern Thai,13,LAMPANG_THAI,nort2740,TK.KAM_TAI.LAMPANG_THAI
771,Portuguese,17,PORTUGUESE,port1283,IE.ROMANCE.PORTUGUESE
775,Hindi,13,HINDI,hind1269,IE.INDIC.HINDI
778,Ionic-Attic Ancient Greek,8,GREEK_ANCIENT,anci1242,IE.GREEK.GREEK_ANCIENT
781,Classical Syriac,11,SYRIAC_2,clas1252,AA.SEMITIC.SYRIAC_2
782,Levantine Arabic,8,SAN_ANDRES_ARABIC_2,nort3139,AA.SEMITIC.SAN_ANDRES_ARABIC_2
788,Ugaritic,9,UGARITIC,ugar1238,AA.SEMITIC.UGARITIC
793,Ionic-Attic Ancient Greek,8,GREEK_ANCIENT,anci1242,IE.GREEK.GREEK_ANCIENT
794,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
799,Latin,8,LATIN,lati1261,IE.ROMANCE.LATIN
802,Burmese,9,BURMESE,nucl1310,ST.BURMESE_LOLO.BURMESE
812,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
814,Latin,8,LATIN,lati1261,IE.ROMANCE.LATIN
815,Latin,8,LATIN,lati1261,IE.ROMANCE.LATIN
