glottolog_name,Glottocode,asjp_id,tip_name
Dyaabugay,dyaa1242,DYAABUGAY,Aus.PAMA_NYUNGAN.DYAABUGAY
Yidiñ,yidi1250,YIDINY,Aus.PAMA_NYUNGAN.YIDINY
Bidyara,bidy1243,BIDJARA,Aus.PAMA_NYUNGAN.BIDJARA
Kunggari,kung1258,KUNGGARI,Aus.PAMA_NYUNGAN.KUNGGARI
Guwamu,guwa1243,GUWAMU,Aus.PAMA_NYUNGAN.GUWAMU
Gunya,guny1241,GUNYA,Aus.PAMA_NYUNGAN.GUNYA
Margany,marg1253,MARGANY,Aus.PAMA_NYUNGAN.MARGANY
Gugu Badhun,gugu1253,GUGU_BUJUN,Aus.PAMA_NYUNGAN.GUGU_BUJUN
Warrongo,waru1264,WARUNGU,Aus.PAMA_NYUNGAN.WARUNGU
Biri,biri1256,BIRI,Aus.PAMA_NYUNGAN.BIRI
Gangulu,gang1268,GANGULU,Aus.PAMA_NYUNGAN.GANGULU
Biri,biri1256,BIRRI_AUSTRALIA,Aus.PAMA_NYUNGAN.BIRRI_AUSTRALIA
Biri,biri1256,WIRRI,Aus.PAMA_NYUNGAN.WIRRI
Bayali,baya1257,BAYALI,Aus.PAMA_NYUNGAN.BAYALI
Dyirbal,dyir1250,DYIRBAL,Aus.PAMA_NYUNGAN.DYIRBAL
Warrgamay,warr1255,WARGAMAY,Aus.PAMA_NYUNGAN.WARGAMAY
Nyawaygi,nyaw1247,NYAWAYGI,Aus.PAMA_NYUNGAN.NYAWAYGI
Wulguru,wulg1239,WULGURU,Aus.PAMA_NYUNGAN.WULGURU
Hawkesbury,hawk1239,DARRKINYUNG,Aus.PAMA_NYUNGAN.DARRKINYUNG
Dyangadi,dyan1250,DYANGADI,Aus.PAMA_NYUNGAN.DYANGADI
Nganyaywana,ngan1296,NGANYAYWANA,Aus.PAMA_NYUNGAN.NGANYAYWANA
Ngunawal,ngun1277,NGUNAWAL,Aus.PAMA_NYUNGAN.NGUNAWAL
,,GANDANGARA,Aus.PAMA_NYUNGAN.GANDANGARA
,,JIRINGAYN,Aus.PAMA_NYUNGAN.JIRINGAYN
,,THAWA,Aus.PAMA_NYUNGAN.THAWA
Ngarigu,ngar1297,NGARIGU,Aus.PAMA_NYUNGAN.NGARIGU
,,OMEO,Aus.PAMA_NYUNGAN.OMEO
