entry_id,entry_name,tip_name
2141,(Ahl al-Sunnah Group for Preaching and Jihad)جماعة أهل السنة للدعوة والجهاد,AA.SEMITIC.STANDARD_ARABIC
2147,الدولة الحفصية Hafsid Dynasty,AA.SEMITIC.STANDARD_ARABIC
2238,XX ــــــــ    ـق  XVIII   الطريقة التجانية في الجزائر :ق,AA.SEMITIC.STANDARD_ARABIC
2245,صقلية الإسلامية Islamic Sicily,AA.SEMITIC.STANDARD_ARABIC
2246,المذهب الحنفي بالبلاد التونسية The Hanafi school in Tunisia,AA.SEMITIC.STANDARD_ARABIC
2247,الفتح العربي الإسلامي لشمال إفريقيا The Arab-Islamic Conquest of North Africa,AA.SEMITIC.STANDARD_ARABIC
2248,الدولة المرادية في تونس The Muradid Dynasty in Tunisia,AA.SEMITIC.STANDARD_ARABIC
2256,الطريقة الرحمانية في الجزائر  ق18-ق20,AA.SEMITIC.STANDARD_ARABIC
2278,الطريقة القادرية البودشيشية في المغرب الأقصى,AA.SEMITIC.STANDARD_ARABIC
2290,الطريقة القادرية في مصر ق13م-ق21م,AA.SEMITIC.STANDARD_ARABIC
2299,الحشاشين  ق11-ق13   =   Assassins   XI-XIII,AA.SEMITIC.STANDARD_ARABIC
2301,Kaloutsiani Mosque,AA.SEMITIC.STANDARD_ARABIC
2308,الفتح العربي الإسلامي للأندلس The Arab-Islamic Conquest of the Iberian Peninsula,AA.SEMITIC.STANDARD_ARABIC
2309,الدولة الأموية بالأندلس The Umayyad Dynasty in the Iberian Peninsula,AA.SEMITIC.STANDARD_ARABIC
2322,الدّولة الأمويّة في المشرق  بين662 م و750م (The Umayyad State in the Mashriq from 662 to 750),AA.SEMITIC.STANDARD_ARABIC
2324,"Justice and Development Party (PJD), Morocco",AA.SEMITIC.STANDARD_ARABIC
2331,الدولة العباسيبّة في المشرق  من 750 م الى 1517 م (The Abbasid State in the Mashriq from 750 to 1517),AA.SEMITIC.STANDARD_ARABIC
2363,"L'ordre Soufi Tunisien ""al-Hasaniyya"" الطريقة الحسنية التونسية",AA.SEMITIC.STANDARD_ARABIC
2365,Moriscos,AA.SEMITIC.STANDARD_ARABIC
2369,Le Mouvement Sanussiyya الحركة السنوسيّة,AA.SEMITIC.STANDARD_ARABIC
2567,Zahiriyyah [in the Iberian Peninsula],AA.SEMITIC.STANDARD_ARABIC
422,Demeter Cult,IE.GREEK.GREEK_ANCIENT
948,Christianity in Ephesus,IE.GREEK.GREEK_ANCIENT
941,Chan Buddhists in early Qing period,ST.CHINESE.MIDDLE_CHINESE
1038,Sino-Muslims in Qing China,ST.CHINESE.MIDDLE_CHINESE
1140,Early Medieval Confucianism,ST.CHINESE.MIDDLE_CHINESE
1162,Lingbao dafa,ST.CHINESE.MIDDLE_CHINESE
1291,Mañjuśrī Devotionalism,ST.CHINESE.MIDDLE_CHINESE
2233,The Way of Former Heaven (Xiantiandao 先天道),ST.CHINESE.MIDDLE_CHINESE
2283,Ge Hong 葛洪 and Outer Alchemy 外丹,ST.CHINESE.MIDDLE_CHINESE
2321,Falungong 法輪功 (Falun Gong) / Falun Dafa 法輪大法,ST.CHINESE.MIDDLE_CHINESE
2328,Church of Almighty God (Quannengshen jiaohui 全能神教會) / Eastern Lightning (Dongfang shandian 東方閃電),ST.CHINESE.MIDDLE_CHINESE
470,Archaic Spartan Cults,IE.GREEK.GREEK_ANCIENT
957,Spartan Religion,IE.GREEK.GREEK_ANCIENT
1983,Early Byzantine Asceticism,IE.GREEK.GREEK_ANCIENT
1993,Ancient Boeotians,IE.GREEK.GREEK_ANCIENT
2009,Ancient Arcadians,IE.GREEK.GREEK_ANCIENT
2010,Bektashi Tarika,IE.GREEK.GREEK_ANCIENT
2160,Manichaeans,IE.GREEK.GREEK_ANCIENT
2244,"Catholicism in the Latin Empire, Catholicism in the Eastern Roman Empire (Byzantium), the Latin Patriarchate of Constantinople",IE.GREEK.GREEK_ANCIENT
2420,Evangelistria of Kipseli Arta,IE.GREEK.GREEK_ANCIENT
2429,Vyliza Monastery,IE.GREEK.GREEK_ANCIENT
2433,Hellenistic Religion in the Seleucid Empire,IE.GREEK.GREEK_ANCIENT
2445,Priesthoods in Ptolemaic Thebes (Luxor),IE.GREEK.GREEK_ANCIENT
1396,Ptolemaic Egypt - Egyptian Religion,IE.GREEK.GREEK_ANCIENT
607,Mohism,ST.CHINESE.MIDDLE_CHINESE
1400,The Buddhist Nuns of 4th - 6th century China,ST.CHINESE.MIDDLE_CHINESE
2490,Wu Zetian's State Buddhism,ST.CHINESE.MIDDLE_CHINESE
974,"Greek Chalcedonian Christians, Nicaea",IE.GREEK.GREEK_ANCIENT
1415,Anomeans,IE.GREEK.GREEK_ANCIENT
2320,Sanjiejiao (三階教),ST.CHINESE.MIDDLE_CHINESE
2325,"Outer alchemy (外丹, waidan)",ST.CHINESE.MIDDLE_CHINESE
2496,Vietnamese popular religion,AuA.VIET_MUONG.VIETNAMESE
2051,Tibeto-Vietnamese Đạo Mẫu,AuA.VIET_MUONG.VIETNAMESE
1820,"Cherubim and Seraphim Church Unification, Campus Fellowship",NC.DEFOID.YORUBA
1829,Cherubim and Seraphim Unification Church of Nigeria (C&SUCN),NC.DEFOID.YORUBA
1835,"The Cherubim and Seraphim Church of Zion, Ugbonla",NC.DEFOID.YORUBA
