tip_name,asjp_id,glottocode,glottolog_name
Aus.PAMA_NYUNGAN.MADHI_MADHI,MADHI_MADHI,madh1244,Madhi Madhi
Aus.PAMA_NYUNGAN.DJADJALA,DJADJALA,,
Aus.PAMA_NYUNGAN.WEMBA_WEMBA,WEMBA_WEMBA,wemb1241,Wemba Wemba
Aus.PAMA_NYUNGAN.WEMBAWEMBA,WEMBAWEMBA,wemb1241,Wemba Wemba
Aus.PAMA_NYUNGAN.BIRRDHAWAL,BIRRDHAWAL,,
Aus.PAMA_NYUNGAN.YORTA_YORTA,YORTA_YORTA,yort1237,Yorta Yorta
Aus.PAMA_NYUNGAN.DHUDHUROA,DHUDHUROA,,
Aus.PAMA_NYUNGAN.PALLANGANMIDDANG,PALLANGANMIDDANG,pall1243,Pallanganmiddang
Aus.PAMA_NYUNGAN.BUNGANDITJ,BUNGANDITJ,bung1264,Bunganditj
Aus.PAMA_NYUNGAN.WARRNAMBOOL,WARRNAMBOOL,warr1257,Warrnambool
Aus.PAMA_NYUNGAN.COLAC,COLAC,,
Aus.PAMA_NYUNGAN.WATHAWURRUNG,WATHAWURRUNG,wath1238,Wathawurrung
Aus.PAMA_NYUNGAN.WOIWURRUNG,WOIWURRUNG,woiw1237,Woiwurrung-Thagungwurrung
Aus.PAMA_NYUNGAN.GUMBAYNGGIR,GUMBAYNGGIR,kumb1268,Kumbainggar
Aus.PAMA_NYUNGAN.YAYGIR,YAYGIR,yayg1236,Yaygir
Aus.PAMA_NYUNGAN.GURENG_GURENG,GURENG_GURENG,gure1255,Gureng Gureng
Aus.PAMA_NYUNGAN.DUUNGIDJAWU,DUUNGIDJAWU,waka1274,Wakawaka
Aus.PAMA_NYUNGAN.WULIWULI,WULIWULI,wuli1242,Wuliwuli
Aus.PAMA_NYUNGAN.WANGAAYBUWAN_NGIYAMBAA,WANGAAYBUWAN_NGIYAMBAA,wang1291,Ngiyambaa
Aus.PAMA_NYUNGAN.GAMILARAAY,GAMILARAAY,gami1243,Yuwaalaraay-Gamilaraay
Aus.PAMA_NYUNGAN.WIRADHURI,WIRADHURI,wira1262,Wiradhuri
Aus.PAMA_NYUNGAN.BARRANBIYA,BARRANBIYA,,
Aus.PAMA_NYUNGAN.MURUWARI,MURUWARI,muru1266,Muruwari
Aus.PAMA_NYUNGAN.GIDABAL,GIDABAL,cond1242,Condamine-Upper Clarence Bandjalang
Aus.PAMA_NYUNGAN.WAALUBAL,WAALUBAL,midd1357,Middle Clarence Bandjalang
Aus.PAMA_NYUNGAN.DHURGA,DHURGA,dhur1239,Dhurga
Aus.PAMA_NYUNGAN.THURAWAL,THURAWAL,thur1254,Thurawal
Aus.PAMA_NYUNGAN.SYDNEY,SYDNEY,sydn1236,Sydney
Aus.PAMA_NYUNGAN.AWABAKAL,AWABAKAL,awab1243,Awabakal
Aus.PAMA_NYUNGAN.WORIMI,WORIMI,wori1245,Worimi
Aus.PAMA_NYUNGAN.KERAMIN,KERAMIN,,
Aus.PAMA_NYUNGAN.YITHA_YITHA,YITHA_YITHA,,
Aus.PAMA_NYUNGAN.KALKUTUNG,KALKUTUNG,kalk1246,Kalkatungu
Aus.PAMA_NYUNGAN.YALARNNGA,YALARNNGA,yala1262,Yalarnnga
Aus.PAMA_NYUNGAN.MAYAGUDUNA,MAYAGUDUNA,maya1280,Mayaguduna
Aus.PAMA_NYUNGAN.MAYKULAN,MAYKULAN,mayi1236,Mayi-Kulan
Aus.PAMA_NYUNGAN.NGAWUN,NGAWUN,ngaw1240,Ngawun
Aus.PAMA_NYUNGAN.MAYI_YAPI,MAYI_YAPI,mayi1235,Mayi-Yapi
Aus.PAMA_NYUNGAN.MAYI_THAKURTI,MAYI_THAKURTI,mayi1234,Mayi-Thakurti
Aus.PAMA_NYUNGAN.MBABARAM,MBABARAM,mbab1239,Mbabaram
Aus.PAMA_NYUNGAN.KANJU,KANJU,kanj1260,Kanju
Aus.PAMA_NYUNGAN.KUUKU_YAU,KUUKU_YAU,kuuk1238,Kuuku-Ya'u
Aus.PAMA_NYUNGAN.WIK_MUNGKAN,WIK_MUNGKAN,wikm1247,Wik-Mungkan
Aus.PAMA_NYUNGAN.KUKU_UWANH,KUKU_UWANH,kuku1280,Kuku-Uwanh
Aus.PAMA_NYUNGAN.YIR_YORONT,YIR_YORONT,,
Aus.PAMA_NYUNGAN.THAYORE,THAYORE,thay1249,Thayore
Aus.PAMA_NYUNGAN.KUNJEN,KUNJEN,kunj1245,Kunjen
Aus.PAMA_NYUNGAN.AGHU_THARRNGGALA,AGHU_THARRNGGALA,aghu1254,Aghu Tharnggalu
Aus.PAMA_NYUNGAN.LENINGITIJ,LENINGITIJ,leni1238,Linngithigh
Aus.PAMA_NYUNGAN.LINNGITHIGH,LINNGITHIGH,leni1238,Linngithigh
Aus.PAMA_NYUNGAN.MPAKWITHI_ANGUTHIMRI,MPAKWITHI_ANGUTHIMRI,leni1238,Linngithigh
Aus.PAMA_NYUNGAN.UMBUYKAMU,UMBUYKAMU,umbu1256,Umbuygamu
Aus.PAMA_NYUNGAN.PARIMANKUTINMA,PARIMANKUTINMA,mbar1253,Rimanggudhinma
Aus.PAMA_NYUNGAN.LAMALAMA_COASTAL,LAMALAMA_COASTAL,lamu1254,Lamalama
Aus.PAMA_NYUNGAN.LAMALAMA_INLAND,LAMALAMA_INLAND,lamu1254,Lamalama
Aus.PAMA_NYUNGAN.MALYANGAPA,MALYANGAPA,maly1234,Malyangapa
Aus.PAMA_NYUNGAN.DARLING,DARLING,darl1243,Paakantyi
Aus.PAMA_NYUNGAN.BADJIRRI,BADJIRRI,badj1244,Badjirri
Aus.PAMA_NYUNGAN.PUNTHAMARA,PUNTHAMARA,punt1240,Punthamara
Aus.PAMA_NYUNGAN.PITTA_PITTA,PITTA_PITTA,pitt1247,Pitta Pitta
Aus.PAMA_NYUNGAN.ARABANA,ARABANA,arab1267,Arabana
Aus.PAMA_NYUNGAN.WANGGANGURU,WANGGANGURU,wang1290,Wangganguru
Aus.PAMA_NYUNGAN.YANDRUWANDHA,YANDRUWANDHA,yand1253,Yandruwandha
Aus.PAMA_NYUNGAN.DIYARI,DIYARI,dier1241,Dieri
Aus.PAMA_NYUNGAN.NGAMINI,NGAMINI,ngam1265,Ngamini-Yarluyandi-Karangura
Aus.PAMA_NYUNGAN.KOKATA,KOKATA,koka1244,Kokata
Aus.PAMA_NYUNGAN.MARTU_WANGKA,MARTU_WANGKA,mart1256,Martu Wangka
Aus.PAMA_NYUNGAN.MANTJILTJARA,MANTJILTJARA,mart1256,Martu Wangka
Aus.PAMA_NYUNGAN.YULPARIJA,YULPARIJA,mart1256,Martu Wangka
Aus.PAMA_NYUNGAN.PINTUPI,PINTUPI,pint1250,Pintupi-Luritja
Aus.PAMA_NYUNGAN.NGAANYATJARRA,NGAANYATJARRA,ngaa1240,Ngaanyatjarra
Aus.PAMA_NYUNGAN.WANGKA_WIRU,WANGKA_WIRU,pitj1243,Pitjantjatjara
Aus.PAMA_NYUNGAN.PITJANTJATJARA_YANKUNTJATJARA,PITJANTJATJARA_YANKUNTJATJARA,yank1247,Yankunytjatjara
Aus.PAMA_NYUNGAN.KARADJERI,KARADJERI,kara1476,Karadjeri
Aus.PAMA_NYUNGAN.NYANGUMARTA,NYANGUMARTA,nyan1301,Nyangumarta
Aus.PAMA_NYUNGAN.WARUMUNGU,WARUMUNGU,waru1265,Warumungu
Aus.PAMA_NYUNGAN.WARLPIRI,WARLPIRI,warl1254,Warlpiri
Aus.PAMA_NYUNGAN.WALMAJARRI,WALMAJARRI,walm1241,Walmajarri-Juwaliny
Aus.PAMA_NYUNGAN.JARU,JARU,jaru1254,Jaru
Aus.PAMA_NYUNGAN.GURINDJI,GURINDJI,guri1247,Gurindji
Aus.PAMA_NYUNGAN.NGARINMAN_BILINARA,NGARINMAN_BILINARA,ngar1235,Ngarinman
Aus.PAMA_NYUNGAN.NHANDA,NHANDA,nhan1238,Nhanda
Aus.PAMA_NYUNGAN.BADIMAYA,BADIMAYA,badi1246,Badimaya
Aus.PAMA_NYUNGAN.WAJARRI,WAJARRI,waja1257,Wajarri
Aus.PAMA_NYUNGAN.NGADJUNMAYA,NGADJUNMAYA,ngad1258,Ngadjunmaya
Aus.PAMA_NYUNGAN.NYOONGAR,NYOONGAR,nyun1247,Nyunga
Aus.PAMA_NYUNGAN.NYUNGA_NORTHERN,NYUNGA_NORTHERN,nyun1247,Nyunga
Aus.PAMA_NYUNGAN.NYUNGA_SOUTH_WESTERN,NYUNGA_SOUTH_WESTERN,nyun1247,Nyunga
Aus.PAMA_NYUNGAN.NYUNGA_EASTERN,NYUNGA_EASTERN,nyun1247,Nyunga
Aus.PAMA_NYUNGAN.DHARGARI,DHARGARI,dhar1247,Dhargari
