ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,classification_glottolog,recently_extinct,long_extinct,tip_name
BUIN,BUIN,tere1278,Terei,buo,Papunesia,-6.75,155.75,South Bougainville,"SouthBougainville,Buinic,Buin",False,False,EB.EAST_BOUGAINVILLE.BUIN
BUJA,BUJA,budz1238,Budza,bja,Africa,2.5,22.67,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,RiversBantu,Ngiri,NgiriRiverainMongala,Motemboic,Bujaic,Budja(C.37)",False,False,NC.BANTOID.BUJA
BUJA_BUMBA_YAMOLOTO,BUJA_BUMBA_YAMOLOTO,budz1238,Budza,bja,Africa,2.5,22.67,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,RiversBantu,Ngiri,NgiriRiverainMongala,Motemboic,Bujaic,Budja(C.37)",False,False,NC.BANTOID.BUJA_BUMBA_YAMOLOTO
BUJA_MONOGO_BUMBA,BUJA_MONOGO_BUMBA,budz1238,Budza,bja,Africa,2.5,22.67,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,RiversBantu,Ngiri,NgiriRiverainMongala,Motemboic,Bujaic,Budja(C.37)",False,False,NC.BANTOID.BUJA_MONOGO_BUMBA
BUJEBA,BUJEBA,kwas1243,Kwasio,nmg,Africa,3.0,10.17,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Makaa-Kako(A.80-90),Makaa-Njem(A.80),WesternA80,Mvumboic,Kwasio-Gyele",False,False,NC.BANTOID.BUJEBA
BUKAR_SADONG_BIDAYUH,BUKAR_SADONG_BIDAYUH,buka1257,Bukar-Sadung Bidayuh,sdo,Papunesia,1.25,111.0,Austronesian,"Austronesian,Malayo-Polynesian,LandDayak,Bidayuh-SouthernLandDayak,Bidayuh",False,False,An.LAND_DAYAK.BUKAR_SADONG_BIDAYUH
BUKAT,BUKAT,buka1261,Bukat,bvk,Papunesia,1.17,113.33,Austronesian,"Austronesian,Malayo-Polynesian,NorthBorneoMalayo-Polynesian,CentralSarawak,Punan-Muller-Schwaner,Punan,Bukat-Ukit-Beketan-Lugat-Lisum",False,False,An.KAYAN_MURIK.BUKAT
BUKAUA,BUKAUA,buga1250,Bugawac,buk,Papunesia,-6.75,147.25,Austronesian,"Austronesian,Malayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceaniclinkage,NorthNewGuinealinkage,HuonGulf,NorthHuonGulflinkage",False,False,An.OCEANIC.BUKAUA
BUKITAN,BUKITAN,buki1248,Bukitan,bkn,Papunesia,1.5,116.5,Austronesian,"Austronesian,Malayo-Polynesian,NorthBorneoMalayo-Polynesian,CentralSarawak,Punan-Muller-Schwaner,Punan,Bukat-Ukit-Beketan-Lugat-Lisum",False,False,An.NORTH_BORNEO.BUKITAN
BUKIYIP,BUKIYIP,buki1249,Bukiyip,ape,Papunesia,-3.42,143.17,Nuclear Torricelli,"NuclearTorricelli,Kombio-Arapesh-Urat,Arapesh,Mufian-Bukiyip-Abu,Bukiyip-Abu",False,False,Tor.KOMBIO_ARAPESH.BUKIYIP
BULGARIAN,BULGARIAN,bulg1262,Bulgarian,bul,Eurasia,42.5,25.0,Indo-European,"Indo-European,ClassicalIndo-European,Balto-Slavic,Slavic,SouthSlavic,EasternSouthSlavic,Macedo-Bulgarian",False,False,IE.SLAVIC.BULGARIAN
BULI,BULI,buli1255,Buli (Indonesia),bzq,Papunesia,1.0,128.5,Austronesian,"Austronesian,Malayo-Polynesian,EasternMalayo-Polynesian,SouthHalmahera-WestNewGuinea,RajaAmpat-SouthHalmahera,SouthHalmahera,Gebeic,Central-EasternSouthHalmahera",False,False,An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.BULI
BULI_GHANA,BULI_GHANA,buli1254,Buli (Ghana),bwu,Africa,10.5,-1.25,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Gur,CentralGur,NorthernCentralGur,Bwamu-Oti-Volta,Oti-Volta,Buli-Koma",False,False,NC.GUR.BULI_GHANA
BULU,BULU,bulu1251,Bulu (Cameroon),bum,Africa,3.0,11.0,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Basaa-Yaunde(A40-70),Yaunde-Fang(A.70)",False,False,NC.BANTOID.BULU
BUMANG,BUMANG,buma1247,Bumang,bvp,Eurasia,23.02,103.34,Bookkeeping,"Austroasiatic,Khasi-Palaung,Palaungic,EastPalaungic,Khao-Bit",False,False,AuA.PALAUNG_KHMUIC.BUMANG
BUMO,BUMO,izon1238,Izon,ijc,Africa,4.92,5.67,Ijoid,"Ijoid,Ijo,WesternIjo",False,False,Ijo.IJOID.BUMO
BUMTHANGKHA,BUMTHANGKHA,bumt1240,Bumthangkha,kjz,Eurasia,27.65,90.8,Sino-Tibetan,"Sino-Tibetan,Bodic,Bodish,Phobjib-Chali-Bumthangic,Chali-Bumthangic,Bumthangic",False,False,ST.BODIC.BUMTHANGKHA
BUM_B_CAMEROON,BUM_B_CAMEROON,bumm1238,Bum,bmv,Africa,6.49,10.41,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields,Ring,Center-WestRing,CenterRing,Mmen-Bum",False,False,NC.BANTOID.BUM_B_CAMEROON
BUNABA,BUNABA,buna1275,Bunaba,bck,Australia,-17.75,125.75,Bunaban,Bunaban,False,False,Aus.BUNUBAN.BUNABA
BUNABUN,BUNABUN,brem1238,Barem,buq,Papunesia,-4.63,145.55,Nuclear Trans New Guinea,"NuclearTransNewGuinea,Madang,Croisilles,GreaterNorthernAdelbert,NorthernAdelbert,Manep-Barem",False,False,TNG.MADANG.BUNABUN
BUNAK_2,BUNAK_2,buna1278,Bunak,bfn,Papunesia,-9.17,125.33,Timor-Alor-Pantar,Timor-Alor-Pantar,False,False,TAP.BUNAK.BUNAK_2
BUNAMA,BUNAMA,buna1276,Bunama,bdd,Papunesia,-10.08,151.08,Austronesian,"Austronesian,Malayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceaniclinkage,PapuanTiplinkage,NuclearPapuanTiplinkage,NorthPapuanMainland-D'Entrecasteauxlinkage,Dobu-Duaulinkage,Bunama-Mwatebu",False,False,An.OCEANIC.BUNAMA
BUNDELI,BUNDELI,bund1253,Bundeli,bns,Eurasia,25.5,78.45,Indo-European,"Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,ContinentalIndo-Aryan,MidlandsIndo-Aryan,Shaurasenic,Indo-AryanCentralzone,WesternHindi,Bundeli-Bharia",False,False,IE.INDIC.BUNDELI
BUNGAIN,BUNGAIN,bung1270,Bungain,but,Papunesia,-3.67,143.75,Nuclear Torricelli,"NuclearTorricelli,Marienberg",False,False,Tor.MARIENBERG.BUNGAIN
BUNGANDITJ,BUNGANDITJ,bung1264,Bunganditj,xbg,Australia,-36.5,140.5,Pama-Nyungan,"Pama-Nyungan,SoutheasternPama-Nyungan,VictorianPama-Nyungan,Kulin-Bunganditj,Warrnambool-Bunganditj",True,False,Aus.PAMA_NYUNGAN.BUNGANDITJ
BUNJI_SHINA,BUNJI_SHINA,shin1264,Shina,scl,Eurasia,36.0,74.0,Indo-European,"Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,EasternDardic,NuclearEasternDardic,Shinaic",False,False,IE.INDIC.BUNJI_SHINA
BUNOGE,BUNOGE,buno1241,Bunoge Dogon,dgb,Africa,14.67,-3.8,Dogon,"Dogon,WestDogon,Penangic",False,False,Dog.DOGON.BUNOGE
BUNOR,BUNOR,cent1992,Central Mnong,cmo,Eurasia,12.5,107.58,Austroasiatic,"Austroasiatic,Bahnaric,WestBahnaric,SouthBahnaric,Mnong-Stieng-Chrau,Mnong,Southern-CentralMnong",False,False,AuA.BAHNARIC.BUNOR
BUNU,BUNU,buna1273,Bunu,bwx,Eurasia,20.4,107.7,Hmong-Mien,"Hmong-Mien,Hmongic,NuclearHmongic-HoNe,NuclearHmongic,WestHmongic,Bu-Nao-Bunu",False,False,HM.HMONG_MIEN.BUNU
BUNUN,BUNUN,bunu1267,Bunun,bnn,Papunesia,23.5,121.0,Austronesian,Austronesian,False,False,An.ATAYALIC.BUNUN
BUOL,BUOL,buol1237,Buol,blf,Papunesia,1.0,121.5,Austronesian,"Austronesian,Malayo-Polynesian,GreaterCentralPhilippine,Gorontalo-Mongondow,Gorontalic",False,False,An.GREATER_CENTRAL_PHILIPPINE.BUOL
BURA,BURA,bura1292,Bura-Pabir,bwr,Africa,10.5,12.25,Afro-Asiatic,"Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Margi-Mandara-Mofu,Bura-Marghi,Buraic",False,False,AA.BIU_MANDARA.BURA
BURAK,BURAK,bura1271,Burak,bys,Africa,9.5,11.08,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,Bikwin-Jen,NorthernBikwin-Jen,Burak-Loo",False,False,NC.ADAMAWA.BURAK
BURARRA,BURARRA,bura1267,Burarra,bvr,Australia,-12.25,134.58,Maningrida,"Maningrida,Bureran",False,False,Aus.BURARRAN.BURARRA
BURGENLAND_ROMANI,BURGENLAND_ROMANI,carp1235,Central Romani,rmc,Eurasia,47.5,16.5,Indo-European,"Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,ContinentalIndo-Aryan,MidlandsIndo-Aryan,Shaurasenic,Indo-AryanCentralzone,Romani",False,False,IE.INDIC.BURGENLAND_ROMANI
BURIAT_MONGOLIA,BURIAT_MONGOLIA,mong1330,Mongolia Buriat,bxm,Eurasia,52.0,108.0,Mongolic-Khitan,"Mongolic-Khitan,Mongolic,EasternMongolic,Khalkha-Buriat,Buriat",False,False,Alt.MONGOLIC.BURIAT_MONGOLIA
BURIAT_RUSSIA,BURIAT_RUSSIA,russ1264,Russia Buriat,bxr,Eurasia,51.0,106.0,Mongolic-Khitan,"Mongolic-Khitan,Mongolic,EasternMongolic,Khalkha-Buriat,Buriat",False,False,Alt.MONGOLIC.BURIAT_RUSSIA
BURJI,BURJI,burj1242,Burji,bji,Africa,5.5,37.83,Afro-Asiatic,"Afro-Asiatic,Cushitic,EastCushitic,HighlandEastCushitic",False,False,AA.LOWLAND_EAST_CUSHITIC.BURJI
BURJI_2,BURJI_2,burj1242,Burji,bji,Africa,5.5,37.83,Afro-Asiatic,"Afro-Asiatic,Cushitic,EastCushitic,HighlandEastCushitic",False,False,AA.LOWLAND_EAST_CUSHITIC.BURJI_2
BURMBAR,BURMBAR,burm1263,Burmbar,vrt,Papunesia,-16.37,167.77,Austronesian,"Austronesian,Malayo-Polynesian,EasternMalayo-Polynesian,Oceanic,NorthandCentralVanuatu,CentralVanuatu,Malakula,EasternMalakulalinkage,Central-SoutheastMalakula",False,False,An.OCEANIC.BURMBAR
BURMBAR_LEPAXSIVIR,BURMBAR_LEPAXSIVIR,burm1263,Burmbar,vrt,Papunesia,-16.41,167.77,Austronesian,"Austronesian,Malayo-Polynesian,EasternMalayo-Polynesian,Oceanic,NorthandCentralVanuatu,CentralVanuatu,Malakula,EasternMalakulalinkage,Central-SoutheastMalakula",False,False,An.OCEANIC.BURMBAR_LEPAXSIVIR
BURMBAR_VARTAVO,BURMBAR_VARTAVO,burm1263,Burmbar,vrt,Papunesia,-16.35,167.77,Austronesian,"Austronesian,Malayo-Polynesian,EasternMalayo-Polynesian,Oceanic,NorthandCentralVanuatu,CentralVanuatu,Malakula,EasternMalakulalinkage,Central-SoutheastMalakula",False,False,An.OCEANIC.BURMBAR_VARTAVO
BURMESE,BURMESE,nucl1310,Burmese,mya,Eurasia,21.0,96.0,Sino-Tibetan,"Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Burmish,SouthernBurmish,Mranmaic,NuclearMranmaic",False,False,ST.BURMESE_LOLO.BURMESE
BURMESO,BURMESO,burm1264,Burmeso,bzu,Papunesia,-2.5,138.25,Burmeso,Burmeso,False,False,Bur.BURMESO.BURMESO
BURU,BURU,buru1299,Buru-Angwe,bqw,Africa,7.0,10.9,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid",False,False,NC.BANTOID.BURU
BURUM,BURUM,buru1306,Burum-Mindik,bmu,Papunesia,-6.5,147.33,Nuclear Trans New Guinea,"NuclearTransNewGuinea,Finisterre-Huon,Huon,WesternHuon,Rawlinson,Pindiu,Kosorong-Burum-Mindik",False,False,TNG.FINISTERRE_HUON.BURUM
BURUM_MINDIK,BURUM_MINDIK,buru1306,Burum-Mindik,bmu,Papunesia,-6.5,147.33,Nuclear Trans New Guinea,"NuclearTransNewGuinea,Finisterre-Huon,Huon,WesternHuon,Rawlinson,Pindiu,Kosorong-Burum-Mindik",False,False,TNG.FINISTERRE_HUON.BURUM_MINDIK
BURUN,BURUN,buru1301,Northern Burun,bdi,Africa,10.75,34.0,Nilotic,"Nilotic,WesternNilotic,Burun",False,False,ESu.NILOTIC.BURUN
BURUNGE,BURUNGE,buru1320,Burunge,bds,Africa,-5.33,36.0,Afro-Asiatic,"Afro-Asiatic,Cushitic,SouthCushitic,GreaterWestRiftSouthCushitic,WestRiftSouthCushitic",False,False,AA.SOUTHERN_CUSHITIC.BURUNGE
BURUSHASKI,BURUSHASKI,buru1296,Burushaski,bsk,Eurasia,36.5,74.5,Burushaski,Burushaski,False,False,Brs.BURUSHASKI.BURUSHASKI
BURUSU,BURUSU,buru1304,Burusu,bqr,Papunesia,3.17,117.0,Austronesian,"Austronesian,Malayo-Polynesian,NorthBorneoMalayo-Polynesian,Sabahan,SouthwestSabahan,GreaterMurutic,Murutic,NorthernMurutic,Sumambu-Tagal,Tidung-Bulusu",False,False,An.NORTH_BORNEO.BURUSU
BURU_MASARETE,BURU_MASARETE,buru1303,Buru (Indonesia),mhs,Papunesia,-3.5,126.5,Austronesian,"Austronesian,Malayo-Polynesian,WestCentralMaluku,Sula-Buru,Buruic",False,False,An.CENTRAL_MALAYO_POLYNESIAN.BURU_MASARETE
BUSAN,BUSAN,odia1239,Odiai,bhf,Papunesia,-3.83,141.42,Odiai,Odiai,False,False,Odi.ODIAI.BUSAN
BUSA_NIGERIA,BUSA_NIGERIA,busa1253,Busa,bqp,Africa,9.67,4.0,Mande,"Mande,EasternMande,Bisa-Busa,Samo-Busa,Busan,Boko-Busa",False,False,Man.EASTERN_MANDE.BUSA_NIGERIA
BUSHI,BUSHI,bush1250,Kibosy Kiantalaotsy-Majunga,buc,Africa,-12.8,45.1,Austronesian,"Austronesian,Malayo-Polynesian,Basap-GreaterBarito,GreaterBaritolinkage,SoutheastBarito,Malagasic,North-CentralMalagasic",False,False,An.BARITO.BUSHI
BUSHONG_1,BUSHONG_1,bush1247,Bushoong,buf,Africa,-4.5,21.5,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,InnerBasinBantu,Cuvette,Nkutsuic,Bushoong-Wongo-Lele",False,False,NC.BANTOID.BUSHONG_1
BUSHONG_2,BUSHONG_2,bush1247,Bushoong,buf,Africa,-4.5,21.5,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,InnerBasinBantu,Cuvette,Nkutsuic,Bushoong-Wongo-Lele",False,False,NC.BANTOID.BUSHONG_2
BUSHOONG,BUSHOONG,bush1247,Bushoong,buf,Africa,-4.5,21.5,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,InnerBasinBantu,Cuvette,Nkutsuic,Bushoong-Wongo-Lele",False,False,NC.BANTOID.BUSHOONG
BUSOA,BUSOA,buso1238,Busoa,bup,Papunesia,-5.58,122.63,Austronesian,"Austronesian,Malayo-Polynesian,Celebic,GreaterEasternCelebic,EasternCelebic,SoutheasternCelebic,Muna-Buton,NuclearMuna-Buton,Munan",False,False,An.CELEBIC.BUSOA
BUSSA,BUSSA,buss1239,Bussa,dox,Africa,5.75,37.25,Afro-Asiatic,"Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic,SouthernLowlandEastCushitic,MainstreamLowlandEastCushitic,Oromoid,Konsoid,Gidole-Bussa",False,False,AA.LOWLAND_EAST_CUSHITIC.BUSSA
BUSSA_2,BUSSA_2,buss1239,Bussa,dox,Africa,5.75,37.25,Afro-Asiatic,"Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic,SouthernLowlandEastCushitic,MainstreamLowlandEastCushitic,Oromoid,Konsoid,Gidole-Bussa",False,False,AA.LOWLAND_EAST_CUSHITIC.BUSSA_2
BUTANGLU_PAIWAN,BUTANGLU_PAIWAN,paiw1248,Paiwan,pwn,Papunesia,22.5,120.83,Austronesian,Austronesian,False,False,An.PAIWAN.BUTANGLU_PAIWAN
BUTLEH,BUTLEH,maya1282,Misool-Salawati Ma'ya,slz,Papunesia,-0.9,130.97,Austronesian,"Austronesian,Malayo-Polynesian,EasternMalayo-Polynesian,SouthHalmahera-WestNewGuinea,RajaAmpat-SouthHalmahera,Maya-Salawati-Matbat,Maya-Salawati,RajaAmpatMaya",False,False,An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.BUTLEH
BUTMAS,BUTMAS,butm1237,Farafi,bnr,Papunesia,-15.41,167.06,Austronesian,"Austronesian,Malayo-Polynesian,EasternMalayo-Polynesian,Oceanic,NorthandCentralVanuatu,NorthernVanuatu,EspirituSanto,NuclearSanto,EastSanto,SoutheastSanto",False,False,An.OCEANIC.BUTMAS
BUTUANON,BUTUANON,butu1244,Butuanon,btw,Papunesia,9.0,125.33,Austronesian,"Austronesian,Malayo-Polynesian,GreaterCentralPhilippine,CentralPhilippine,Bisayan,SouthBisayan,Butuan-Tausug",False,False,An.GREATER_CENTRAL_PHILIPPINE.BUTUANON
BUU,BUU,poko1261,Pokomo,pkb,Africa,-2.37,40.33,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,NortheastCoastalBantu,CoastalNECBantu,Mijikenda-Pokomo-Comorian",False,False,NC.BANTOID.BUU
BUYANG,BUYANG,lang1316,Langnian Buyang,yln,Eurasia,23.7,106.1,Tai-Kadai,"Tai-Kadai,Kadaic,EasternKra,Buyang,NorthernBuyang",False,False,TK.KADAI.BUYANG
BU_CAMEROON,BU_CAMEROON,laim1240,Laimbue,lmx,Africa,6.22,10.08,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields,Ring,Center-WestRing,WestRing",False,False,NC.BANTOID.BU_CAMEROON
BU_NIGERIA,BU_NIGERIA,buuu1244,Bu,jid,Africa,9.08,8.42,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Benue-CongoPlateau,Ninzic",False,False,NC.PLATOID.BU_NIGERIA
BWAIDOKA,BWAIDOKA,bwai1242,Bwaidoka,bwd,Papunesia,-9.5,150.33,Austronesian,"Austronesian,Malayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceaniclinkage,PapuanTiplinkage,NuclearPapuanTiplinkage,NorthPapuanMainland-D'Entrecasteauxlinkage,Bwaidogalinkage,Bwaidoka-Iduna",False,False,An.OCEANIC.BWAIDOKA
BWAMU,BWAMU,buam1238,Buamu,box,Africa,11.67,-3.83,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Gur,CentralGur,NorthernCentralGur,Bwamu-Oti-Volta,Bwamu,NuclearBwamu",False,False,NC.GUR.BWAMU
BWANABWANA,BWANABWANA,bwan1241,Bwanabwana,tte,Papunesia,-10.75,151.25,Austronesian,"Austronesian,Malayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceaniclinkage,PapuanTiplinkage,NuclearPapuanTiplinkage,Suauic",False,False,An.OCEANIC.BWANABWANA
BWE_KAREN,BWE_KAREN,bwek1238,Bwe Karen,bwe,Eurasia,19.5,97.0,Sino-Tibetan,"Sino-Tibetan,Karenic,CentralKaren,Geba-Bwe",False,False,ST.KAREN.BWE_KAREN
BWILE,BWILE,bwil1245,Bwile,bwc,Africa,-7.75,29.0,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,Sabi,Malungu-CentralSabi",False,False,NC.BANTOID.BWILE
BWISI,BWISI,bwis1242,Bwisi,bwz,Africa,-3.17,12.0,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,West-CoastalBantu,Nzadic,Lweric,Dingic,Loange-Atlantic,KLCExtended,KikongoLanguageCluster,NuclearKLC,Kikongoic,KambakunyicKikongo,KilaadicKikongo,Central-SouthernKikongo,WestKikongo,Vilic,Lumbuic,Lumbu-Bwisi",False,False,NC.BANTOID.BWISI
BYANSI,BYANSI,byan1241,Byangsi,bee,Eurasia,30.17,80.5,Sino-Tibetan,"Sino-Tibetan,Bodic,WestHimalayish,EasternWestHimalayish,Pithauragarh,Darma-Byangsi-Chaudangsi,Darma-Byangsi",False,False,ST.BODIC.BYANSI
C10_GANDO,C10_GANDO,ngan1304,Ngando (Central African Republic),ngd,Africa,3.75,17.75,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,RiversBantu,Likouala-Sangha,Mokiba-Ngando",False,False,NC.BANTOID.C10_GANDO
C24_KOYO_ZWE,C24_KOYO_ZWE,koyo1242,Koyo,koh,Africa,-0.67,15.67,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,RiversBantu,Mboshi(C.20),Koyo-Mboshi",False,False,NC.BANTOID.C24_KOYO_ZWE
C301_BODO_1,C301_BODO_1,bodo1272,Bodo (Central African Republic),boy,Africa,6.0,26.0,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,RiversBantu,Ngiri,NgiriTerrien,Ngombe-Ababuan,Ababuan,OldBomokandian,Ngbele-Ngenda,Ngendan,UnclassifiedNgendan",False,False,NC.BANTOID.C301_BODO_1
C36d_LINGALA_2,C36d_LINGALA_2,ling1263,Kinshasa Lingala,lin,Africa,2.0,18.5,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,RiversBantu,Ngiri,NgiriRiverainUbangi,NgiriRiverainUbangi-Ripuaire,Bobangic,BobangicRiverain,Bobangi-Bangala-Lingala,Lingala-Bangala",False,False,NC.BANTOID.C36d_LINGALA_2
C36e_BOLOKI_NGIRI,C36e_BOLOKI_NGIRI,bolo1262,Boloki,bkt,Africa,0.83,18.42,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,RiversBantu,Ngiri,NgiriRiverainUbangi,NgiriRiverainUbangi-Ripuaire,Bobangic,BobangicRiverain",False,False,NC.BANTOID.C36e_BOLOKI_NGIRI
C45_LEBEO,C45_LEBEO,ngel1238,Ngelima,agh,Africa,1.75,25.0,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,RiversBantu,Ngiri,NgiriTerrien,Ngombe-Ababuan,Ababuan,OldBomokandian,MiddleBomokandian,LateBomokandian",False,False,NC.BANTOID.C45_LEBEO
C80_MBINGI,C80_MBINGI,bush1247,Bushoong,buf,Africa,-4.5,21.5,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,InnerBasinBantu,Cuvette,Nkutsuic,Bushoong-Wongo-Lele",False,False,NC.BANTOID.C80_MBINGI
C80_SHUWA,C80_SHUWA,bush1247,Bushoong,buf,Africa,-4.5,21.5,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,InnerBasinBantu,Cuvette,Nkutsuic,Bushoong-Wongo-Lele",False,False,NC.BANTOID.C80_SHUWA
C81_DENGESE,C81_DENGESE,deng1250,Dengese,dez,Africa,-3.25,21.67,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,InnerBasinBantu,Cuvette,Nkutsuic,Nkutsu-Lokenye",False,False,NC.BANTOID.C81_DENGESE
C831_ILEBO,C831_ILEBO,bush1247,Bushoong,buf,Africa,-4.5,21.5,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,InnerBasinBantu,Cuvette,Nkutsuic,Bushoong-Wongo-Lele",False,False,NC.BANTOID.C831_ILEBO
C84_LELE_LUHILEEL_2,C84_LELE_LUHILEEL_2,lele1265,Lele (Democratic Republic of Congo),lel,Africa,-5.0,20.67,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,InnerBasinBantu,Cuvette,Nkutsuic,Bushoong-Wongo-Lele",False,False,NC.BANTOID.C84_LELE_LUHILEEL_2
C84_LELE_LUHILEEL_3,C84_LELE_LUHILEEL_3,lele1265,Lele (Democratic Republic of Congo),lel,Africa,-5.0,20.67,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,InnerBasinBantu,Cuvette,Nkutsuic,Bushoong-Wongo-Lele",False,False,NC.BANTOID.C84_LELE_LUHILEEL_3
C84_LELE_LUHILEEL_4,C84_LELE_LUHILEEL_4,lele1265,Lele (Democratic Republic of Congo),lel,Africa,-5.0,20.67,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,InnerBasinBantu,Cuvette,Nkutsuic,Bushoong-Wongo-Lele",False,False,NC.BANTOID.C84_LELE_LUHILEEL_4
CAAC,CAAC,caac1237,Caac,msq,Papunesia,-20.42,164.58,Austronesian,"Austronesian,Malayo-Polynesian,EasternMalayo-Polynesian,Oceanic,SouthernMelanesian,NewCaledonian,MainlandNewCaledonian,NorthernNewCaledonian,ExtremeNorthernNewCaledonian,Kum-Nel-Yua-Cac",False,False,An.OCEANIC.CAAC
