entry_id,violent_external,food_taboos,year_scaled,world_region,tip_name,ID,Glottocode
993,1,0,-1.7385380287425785,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
994,1,1,-0.773010002762513,Africa,AA.SEMITIC.SYRIAC_2,SYRIAC_2,clas1252
1004,1,0,-1.2641135092590914,Europe,AA.SEMITIC.BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244
1011,1,1,-1.8200797430288027,Southwest Asia,AA.SEMITIC.BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244
1028,1,1,-0.0595200027580501,Europe,AA.SEMITIC.BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244
1038,0,1,0.4445560491931548,East Asia,Chi.DORASKE.DORASQUE,DORASQUE,
1041,0,0,0.4037851920500427,East Asia,Kor.KOREAN.KOREAN,KOREAN,kore1280
1043,1,1,0.3111241530884241,Southeast Asia,An.MALAYO_SUMBAWAN.ACEH,ACEH,achi1257
1071,0,0,0.7753559582861331,Africa,IE.ROMANCE.PORTUGUESE,PORTUGUESE,port1283
1076,1,1,0.3667207764653952,South Asia,IE.ROMANCE.LATIN,LATIN,lati1261
1087,1,0,-0.1809059637977704,Europe,IE.SLAVIC.BULGARIAN,BULGARIAN,bulg1262
1127,0,0,0.6725022050387365,East Asia,Kor.KOREAN.KOREAN,KOREAN,kore1280
1129,1,0,-1.7274187040671842,Europe,IE.GREEK.GREEK_ANCIENT,GREEK_ANCIENT,anci1242
1140,0,0,-0.8749371456202935,East Asia,UA.AZTECAN.NAHUATL_XALATZALA_TLAPA,NAHUATL_XALATZALA_TLAPA,
1162,0,0,-0.7081472754893801,East Asia,Tup.TUPI_GUARANI.GUARANI_ANTIGO,GUARANI_ANTIGO,
1178,0,0,0.7716495167276683,South America,IE.ROMANCE.FRENCH,FRENCH,stan1290
1180,1,1,0.4037851920500427,Southeast Asia,An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.BATAK_MANDAILING,BATAK_MANDAILING,bata1291
1191,0,1,-1.35677454822071,Africa,AA.SEMITIC.BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244
1192,1,1,0.7234657764676267,Southeast Asia,An.BARITO.SAMIHIM,SAMIHIM,maan1238
1229,0,0,0.7280988284157076,Central Eurasia,ST.CHINESE.MANDARIN_2,MANDARIN_2,mand1415
1231,0,0,-0.0595200027580501,East Asia,ST.CHINESE.MANDARIN_2,MANDARIN_2,mand1415
1247,0,1,0.6678691530906555,North America,IE.ROMANCE.FRENCH,FRENCH,stan1290
1248,0,0,-2.9060671196589727,Southwest Asia,AA.SEMITIC.AKKADIAN_2,AKKADIAN_2,akka1240
1249,0,0,-1.3512148858830129,Europe,IE.GREEK.GREEK,GREEK,mode1248
1258,1,1,-2.00540182095204,Southwest Asia,AA.SEMITIC.BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244
