entry_id,entry_name,year_from,year_to,region_id,world_region
652,Tiwi,1904,1930,880,Oceania-Australia
653,The Arch of Constantine,312,315,872,Europe
654,12th-13th c Cistercians,1198,1250,493,Europe
655,Siriono,1917,1943,881,South America
657,Trukese,1912,1949,883,South America
658,Mapuche,1925,1951,884,South America
659,Delphi,-800,393,885,Europe
660,Iban,1941,1966,886,Southeast Asia
661,Congregation of Savigny,1113,1147,887,Europe
662,Goajiro,1922,1947,888,South America
663,Temples of Mater Matuta and Fortuna at Sant'Omobono,-600,400,889,Europe
665,Elche Synagogue (Spain),200,700,902,Europe
666,Siuai,1914,1939,890,Oceania-Australia
667,Ainu,1855,1880,891,East Asia
669,Orokaiva,1900,1925,893,Oceania-Australia
670,"Aedes Minerva, Rome",-260,315,872,Europe
671,Mbau Fijians,1820,1840,895,Oceania-Australia
672,Qasr al-Bint,-30,400,896,Southwest Asia
673,Pawnee,1842,1870,897,North America
674,Aymara,1915,1940,898,South America
675,Chukchee,1885,1910,899,Europe
676,"The Order of the Holy Trinity for the Redemption of Captives, 1198-1500",1198,1500,900,Europe
677,Yapese,1885,1910,901,Oceania-Australia
678,"Elche, Spain Synagogue",250,350,902,Europe
679,Santal,1915,1940,903,South Asia
680,Gujarati Mata Worshipers,1850,2019,677,South Asia
681,Sargonic Empire,-2350,-2150,904,Southwest Asia
682,Lakher,1905,1935,910,South Asia
683,"The Ppo Romé temple-tower complex (Bimong Kalan Ppo Romé, Tháp Ppo Romé)",1600,2015,906,Southeast Asia
684,Huron,1615,1640,907,North America
685,Badjau,1940,1966,908,Southeast Asia
686,Popoluca,1915,1945,909,North America
687,"Temple of Minerva, Forum Transitorium",85,315,943,Europe
688,Darul Uloom Deoband,1866,2019,496,South Asia
689,Lengua,1869,1895,911,South America
690,Ahl-e-Sunnat wa Jamaat,1880,2019,496,South Asia
691,Fur,1870,1895,912,Africa
694,Eyak,1880,1910,915,North America
710,Hidatsa,1816,1840,923,North America
711,Kwoma,1912,1937,924,Oceania-Australia
712,Huichol,1880,1934,925,North America
713,Northern Saulteaux,1910,1940,926,North America
714,Tamil Śaiva Bhakti,550,850,480,South Asia
717,Igbo,1910,1940,927,Africa
719,Hinduism in Trinidad,1845,2018,342,North America
721,Semang,1910,1940,929,Southeast Asia
722,Gros Ventre,1835,1885,930,North America
723,Trumai,1910,1940,931,South America
724,Aweikoma,1909,1934,932,South America
726,Early Śramaṇas,-700,500,934,South Asia
727,Raglai,1160,2017,935,Southeast Asia
728,Pentecost,1928,1959,936,Oceania-Australia
729,Kikuyu,1895,1930,937,Africa
732,Marquesans,1800,1875,938,Oceania-Australia
733,Kaska,1870,1915,939,North America
736,Jivaro,1895,1929,941,South America
737,Nama Hottentot,1855,1900,942,Africa
738,Ancient Egyptian,-3000,300,944,Africa
739,Lakalai,1885,1910,945,Oceania-Australia
741,Śākta Hinduism,-450,2019,947,South Asia
742,Thai Bhikkhunis,2003,2020,348,Southeast Asia
744,Rwala Bedouin,1887,1915,949,Southwest Asia
745,Buka,1860,1885,950,Oceania-Australia
748,Lamet,1915,1945,953,Southeast Asia
749,Korean shamanism,1800,2020,717,East Asia
750,Mekeo,1850,1875,954,Oceania-Australia
751,Buddhism in the Mekong Delta,2000,2020,1005,Southeast Asia
752,Haroi,1470,2019,955,Southeast Asia
755,Uyghur Islam,1850,2020,960,Central Eurasia
756,"Punjab/Delhi, India",-750,-250,1918,South Asia
757,Kiribati,1795,1820,962,Oceania-Australia
759,Comanche,1855,1880,964,North America
760,"Punjab/Delhi, India",-250,1200,1919,South Asia
761,"Punjab/Delhi, India",1200,1600,1920,South Asia
762,"Punjab/Delhi, India",1600,2020,1921,South Asia
763,Moriori,1810,1835,968,Oceania-Australia
764,Timbira (Canela),1900,1936,969,South America
765,The Oneida Community,1848,1881,970,North America
766,Garo,1930,1960,971,South Asia
768,Mundurucu,1850,1900,973,South America
769,Wogeo,1910,1935,974,South America
770,Thai Forest Tradition,1920,2020,348,Southeast Asia
771,Muscular Christianity,1762,2020,975,Europe
772,The Apollonion at Syracuse,-580,-212,976,Europe
774,Altar of Hieron II,-269,-215,978,Europe
775,Jainism,-600,2020,492,South Asia
776,Rock Relief of Kurangun,-1700,700,980,Southwest Asia
777,Syria,-538,-515,981,Southwest Asia
778,Syria,-538,-60,981,Southwest Asia
779,Syria,-514,-60,981,Southwest Asia
780,Chogha Zanbil (Al Untash-Napirisha),-1250,-1000,982,Southwest Asia
781,Syria,381,500,981,Southwest Asia
782,Syria,1206,1368,981,Southwest Asia
783,Upper Egypt: Archaic/Early Dynastic Period,-3150,-2686,983,Africa
784,Upper Egypt: Old Kingdom,-2686,-2181,983,Africa
785,Upper Egypt: First Intermediate Period,-2181,-2055,983,Africa
786,Upper Egypt: Middle Kingdom,-2055,-1650,983,Africa
787,Upper Egypt: Second Intermediate Period,-1650,-1550,983,Africa
788,The Late Bronze Age City-State of Ugarit,-1500,-1200,984,Southwest Asia
790,Upper Egypt: New Kingdom,-1550,-1069,983,Africa
