entry_id,entry_name,year_from,year_to
993,Pontifex Maximus and Pontifices (Pontifical College),-712,380
994,"Monastic Communities of Lower Egypt: Nitria, Kellia, Scetis",330,470
995,Tamil Neo-Saivism,1841,2020
996,Wicca,1940,2020
997,Ancient Egypt - Early Dynastic Period,-2950,-2670
1001,American Civil Religion,1776,2021
1003,Tannaitic Rabbis,70,200
1004,Religion in Roman Ostia,-200,300
1005,Religion in Elam,-2600,-539
1006,Ancient Egypt - Old Kingdom,-2670,-2168
1008,Ancient Egypt - First Intermediate Period,-2168,-2010
1010,Pythagoreanism,-530,200
1011,Kingdom of Edom,-800,-550
1012,Inhabitants of Medieval Kurgus,550,1500
1013,Estado da Índia Renegades in Deccan,1510,1640
1014,Philosophy and Ritual Practice of Witchcraft as Female-Centric Religion,1960,2021
1015,Ancient Egypt - Predynastic Period - Early Naqada Culture,-4000,-2950
1016,Ancient Egypt - Predynastic Period - Cultures of Lower Egypt,-4000,-3400
1017,Tomb of Panehsy: Archaeobotanical remains and their religious symbolism,-1500,100
1018,Goa,1510,1600
1019,Religious Practice at Giza,-2650,-2100
1024,Universal Salvation Ritual,1200,1920
1025,Dalikal Ppo Klaong Garai,1151,2020
1026,Temple of Confucius (Kong Temple),-200,1900
1027,Filianism,1976,2021
1028,German Pietists (Hasidei Ashkenaz),1100,1250
1029,Zigao 子羔,-325,-278
1030,The Way of Tang and Yu (Tang yu zhi dao 唐虞之道),-325,-278
1031,Eastern Roman Manichaeism,300,600
1034,Rongchengshi 容成氏,-325,-278
1037,Third Intermediate Period in Ancient Egypt,-1100,-650
1038,Sino-Muslims in Qing China,1644,1911
1039,(Archaeology of) Religion in New Kingdom Nubia,-1550,-1070
1040,Tomb of Tutankhamun (KV 62),-1334,-1325
1041,Korean Catholicism,1600,2021
1042,Zichiji 資持記,1078,1085
1043,Islam in Aceh,1500,2020
1044,Han Imperial Cult under Emperor Wu,-141,-87
