entry_id,violent_external,extra_ritual_group_markers,year_scaled,world_region,tip_name
1289,1,1,0.3545850257600847,Southeast Asia,An.SOUTH_SULAWESI.BUGINESE
1295,1,0,-0.7493680177761322,Africa,IE.ROMANCE.LATIN
1300,1,0,0.8095362379827478,North America,IE.ROMANCE.SPANISH
1303,0,0,-2.3379833731087367,Southwest Asia,AA.SEMITIC.AKKADIAN
1304,0,0,0.7027619738896738,North America,IE.GERMANIC.ENGLISH
1307,0,0,0.6749078180393067,North America,IE.GERMANIC.ENGLISH
1311,0,1,0.6981196145812792,North America,IE.GERMANIC.ENGLISH
1333,0,0,-0.8988519875064357,Europe,AA.SEMITIC.CLASSICAL_SYRIAC
1335,0,1,0.4242204153860026,Europe,IE.ROMANCE.LATIN
1340,0,1,0.7788966665473439,Europe,IE.ROMANCE.FRENCH
1344,0,0,0.6702654587309121,East Asia,ST.BODIC.RANG_PAS
1348,1,0,0.8299626189396836,Southwest Asia,AA.SEMITIC.HEBREW
1349,1,0,0.0054796057688168,Central Eurasia,ST.CHINESE.XIANG
1352,0,0,-1.0362658230349135,South Asia,IE.INDIC.SANSKRIT
1371,1,1,0.7993230475042798,Southwest Asia,IE.IRANIAN.PERSIAN
1374,1,1,0.410293337460819,Europe,IE.ROMANCE.FRENCH
1376,0,1,0.7259737704316463,Africa,NC.BANTOID.ZULU
1386,0,0,0.6396258872955083,East Asia,ST.CHINESE.MANDARIN
1392,0,0,-0.7038728965538659,Southwest Asia,AA.SEMITIC.CLASSICAL_SYRIAC
1396,0,0,-1.320378212708658,Africa,IE.GREEK.GREEK_ANCIENT
1397,1,0,-0.6667340220867096,North America,OM.POPOLOCAN.SAN_JUAN_CHIQUIHUITLAN
1400,1,1,-0.7595812082546001,East Asia,ST.CHINESE.MIDDLE_CHINESE
1412,0,0,0.6684085150075544,Central Eurasia,Jap.JAPANESE.JAPANESE
1415,1,0,-0.7131576151706549,Europe,IE.GREEK.GREEK_ANCIENT
1419,1,1,-2.4772541523605724,Africa,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN
1426,1,1,0.4288627746943971,East Asia,ST.CHINESE.MANDARIN
1433,0,0,-0.8060048013385452,Europe,IE.ROMANCE.LATIN
1436,0,0,-0.741011771021022,Southwest Asia,IE.GREEK.GREEK_ANCIENT
1441,1,1,0.1921024499662765,North America,UA.AZTECAN.CLASSICAL_NAHUATL
1454,0,0,0.2032441123064234,Europe,IE.GREEK.GREEK_ANCIENT
1468,0,0,-0.7363694117126275,Europe,IE.GREEK.GREEK_ANCIENT
1495,0,0,0.8160355410145,Europe,IE.GERMANIC.ENGLISH
1511,1,1,0.6368404717104716,Africa,AA.WEST_CHADIC.HAUSA
1517,0,0,0.759398757452087,Africa,IE.ROMANCE.FRENCH
1522,1,0,0.6154856188918568,Africa,AA.SEMITIC.STANDARD_ARABIC
