entry_id,violent_external,hair,year_scaled,world_region,tip_name,ID,Glottocode
1653,1,0,-0.721513861925765,Europe,IE.GERMANIC.GOTHIC,GOTHIC,goth1244
1654,1,0,0.8011799912276376,Africa,May.MAYAN.TZOTZIL_ZINACANTAN_1600,TZOTZIL_ZINACANTAN_1600,
1667,0,0,0.6795501773477012,Africa,IE.ROMANCE.FRENCH,FRENCH,stan1290
1677,1,0,-2.570101338528463,Southwest Asia,AA.SEMITIC.AKKADIAN,AKKADIAN,akka1240
1701,1,1,0.0017657183221012,Europe,IE.ROMANCE.FRENCH,FRENCH,stan1290
1734,0,0,-2.523677745444518,South America,AA.SEMITIC.ARAMAIC_ANCIENT,ARAMAIC_ANCIENT,
1820,0,0,0.8002515193659587,Africa,Hur.HUARPE.ALLENTIAC,ALLENTIAC,
1829,0,0,0.8058223505360321,Africa,Hur.HUARPE.ALLENTIAC,ALLENTIAC,
1835,0,0,0.7705404197922338,Africa,Hur.HUARPE.ALLENTIAC,ALLENTIAC,
1845,0,1,-0.0929384115691469,Europe,IE.GERMANIC.DANISH,DANISH,dani1285
1869,0,1,0.7538279262820134,Africa,NC.DEFOID.OKA,OKA,yoru1245
1872,0,1,0.7696119479305549,Africa,NC.DEFOID.OKA,OKA,yoru1245
1897,0,0,0.7733258353772705,Africa,NC.DEFOID.OKA,OKA,yoru1245
1908,1,0,-0.0168037189114768,East Asia,Jap.JAPANESE.TOKYO_JAPANESE,TOKYO_JAPANESE,nucl1643
1938,0,0,0.6795501773477012,Southwest Asia,Hur.HUARPE.ALLENTIAC,ALLENTIAC,
1940,0,0,0.7723973635155916,Africa,NC.DEFOID.OKA,OKA,yoru1245
1943,0,0,0.8095362379827478,South America,IE.ROMANCE.SPANISH,SPANISH,stan1288
1961,0,0,0.8095362379827478,Africa,NC.DEFOID.OKA,OKA,yoru1245
1966,0,0,0.7928237444725275,Africa,NC.DEFOID.OKA,OKA,yoru1245
1972,0,0,0.7909668007491697,North America,An.NORTHWEST_FORMOSAN.PAZEH,PAZEH,
1974,0,0,0.8086077661210689,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
1978,0,0,0.7863244414407752,East Asia,ST.CHINESE.CANTONESE,CANTONESE,yuec1235
1983,0,0,-0.6667340220867096,Southwest Asia,NC.PLATOID.GWARA,GWARA,
1985,0,0,-1.0065547234611885,Southwest Asia,Hur.HUARPE.ALLENTIAC,ALLENTIAC,
1993,1,0,-1.5952058837656138,Europe,Hur.HUARPE.ALLENTIAC,ALLENTIAC,
1994,0,0,0.7891098570258118,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
2000,0,0,0.7566133418670502,Africa,NC.DEFOID.OKA,OKA,yoru1245
2003,1,0,0.738972376495151,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
2006,0,0,0.7928237444725275,Africa,NC.DEFOID.YORUBA,YORUBA,yoru1245
2009,1,0,-1.7809002561013945,Europe,AA.WEST_CHADIC.DYARIM,DYARIM,
2010,1,0,0.1131823417235697,Europe,OM.ZAPOTECAN.ZAPOTEC_1578,ZAPOTEC_1578,
2011,0,0,0.7120466925064628,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
2016,1,0,-0.1941418444921475,Southwest Asia,UA.AZTECAN.NAHUATL_IXHUATLAN_DE_MADERO,NAHUATL_IXHUATLAN_DE_MADERO,
2021,1,0,0.7306161297400409,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
2023,1,0,-0.1365765890680554,Africa,Aus.PAMA_NYUNGAN.BIGAMBAL,BIGAMBAL,
2038,1,0,-0.1096509050793672,Europe,TC.TIMOTE_CUICA.MIRRIPU_TIMOTE,MIRRIPU_TIMOTE,
2048,1,1,-0.3167001302337628,Africa,AA.SEMITIC.OGADEN_ARABIC,OGADEN_ARABIC,
2051,0,0,0.8392473375564726,Southeast Asia,OM.ZAPOTECAN.ZAPOTEC_1578,ZAPOTEC_1578,
2052,0,0,0.8113931817061055,Africa,NC.DEFOID.YORUBA,YORUBA,yoru1245
2054,0,0,0.7426862639418667,Africa,NC.DEFOID.OKA,OKA,yoru1245
2061,0,1,0.633126584263756,Africa,NC.DEFOID.OKA,OKA,yoru1245
2069,1,0,0.7900383288874908,Africa,Hur.HUARPE.ALLENTIAC,ALLENTIAC,
2070,0,0,0.8216063721845736,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
2074,0,0,0.7306161297400409,Africa,NC.BANTOID.CUNG,CUNG,
2084,0,0,0.8002515193659587,Africa,Hur.HUARPE.ALLENTIAC,ALLENTIAC,
2089,1,0,0.7946806881958853,Africa,Sch.SECHURA.SECHURA,SECHURA,
2104,0,0,0.5402793980958656,Africa,UA.AZTECAN.NAHUATL_HUEYATI_YAHUALICA,NAHUATL_HUEYATI_YAHUALICA,
2111,1,0,-0.3881924635830384,Africa,OM.ZAPOTECAN.ZAPOTEC_1578,ZAPOTEC_1578,
2114,0,0,0.6674800431458754,Africa,Hur.HUARPE.ALLENTIAC,ALLENTIAC,
2116,0,0,0.6368404717104716,Africa,UA.AZTECAN.NAHUATL_JALATLACO,NAHUATL_JALATLACO,
2122,0,0,0.7983945756426009,Africa,An.OCEANIC.NATI,NATI,
2126,0,0,0.8039654068126744,Africa,NC.DEFOID.OKA,OKA,yoru1245
2133,0,0,0.7473286232502612,Africa,NC.DEFOID.YORUBA,YORUBA,yoru1245
2138,1,0,0.7408293202185089,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
2139,1,0,0.8002515193659587,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
2141,1,0,0.8206779003228946,Africa,An.OCEANIC.NATI,NATI,
2146,0,0,0.6981196145812792,East Asia,Jap.JAPANESE.TOKYO_JAPANESE,TOKYO_JAPANESE,nucl1643
2147,1,0,0.1029691512451017,Africa,OM.ZAPOTECAN.ZAPOTEC_1578,ZAPOTEC_1578,
2178,0,0,0.7426862639418667,Africa,NC.DEFOID.OKA,OKA,yoru1245
2194,0,0,0.7742543072389494,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
2203,0,0,-1.4800753729174296,East Asia,Aus.PAMA_NYUNGAN.BARRANBIYA,BARRANBIYA,
2209,0,0,0.6721224024542699,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
