entry_id,entry_name,answer_value,world_region_simple
1069,Religion at Deir el-Medina,1,Africa
1060,The Taizhou Movement,1,Asia
1051,Religion at Tell el-Dab'a (ancient Avaris) in Ancient Egypt,1,Africa
1049,Chalcolithic Southern Levant,1,Asia
1044,Han Imperial Cult under Emperor Wu,1,Asia
1043,Islam in Aceh,1,Asia
1039,(Archaeology of) Religion in New Kingdom Nubia,1,Africa
1038,Sino-Muslims in Qing China,1,Asia
1037,Third Intermediate Period in Ancient Egypt,1,Africa
1031,Eastern Roman Manichaeism,1,Europe
1028,German Pietists (Hasidei Ashkenaz),1,Europe
1024,Universal Salvation Ritual,1,Asia
1015,Ancient Egypt - Predynastic Period - Early Naqada Culture,1,Africa
1013,Estado da Índia Renegades in Deccan,1,Asia
1011,Kingdom of Edom,1,Asia
1010,Pythagoreanism,1,Europe
1008,Ancient Egypt - First Intermediate Period,1,Africa
1006,Ancient Egypt - Old Kingdom,1,Africa
1005,Religion in Elam,1,Asia
1004,Religion in Roman Ostia,1,Europe
997,Ancient Egypt - Early Dynastic Period,1,Africa
995,Tamil Neo-Saivism,1,Asia
994,"Monastic Communities of Lower Egypt: Nitria, Kellia, Scetis",1,Africa
993,Pontifex Maximus and Pontifices (Pontifical College),1,Europe
991,Beat Buddhism,1,Americas
989,Opus Dei,1,Europe
988,Churches of Christ- United States,1,Americas
987,"Parsis, Zoroastrians of India",1,Asia
986,Theurgy,1,Europe
985,The Victorines,1,Europe
984,Calvinism (Early/Reformation),1,Europe
983,Tibetan and Himalayan Mundane and Landscape Cults,1,Asia
982,The Samaritans (Persian to early Roman periods),1,Asia
981,Nation of Islam,1,Americas
980,Pure Land Buddhist Schools in Early Medieval Japan,1,Asia
978,Indonesian Catholicism,1,Asia
977,Chishti Sufis,1,Asia
976,Mising Community,1,Asia
975,Neo-Charismatic Movement - Third Wave Charismatic Movement,1,Americas
974,"Greek Chalcedonian Christians, Nicaea",1,Asia
973,The Sarna religion of the Oraons of Jharkhand,1,Asia
972,Nestorian Christianity,1,Asia
971,Gāṇapatya,1,Asia
970,Cult of Isis (Mysteries of Isis),1,Europe
969,Adi Dravida/Valluva Sakya Buddhism,1,Asia
968,"Anabaptist Mennonites in North America, 1683-2021",1,Americas
966,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,",1,Europe
965,Pachomian Monasticism,1,Africa
964,Baul Fakirs of Bengal,1,Asia
963,The Knights Templar,1,Europe
962,Amdo Gelukpa,1,Asia
961,Romanian Orthodox Church,1,Europe
960,Bön (Bon),1,Asia
958,Society of Jesus,1,Europe
957,Spartan Religion,1,Europe
953,Sachchai,1,Asia
952,Ethiopian Jews,1,Asia
950,The Religious Society of Friends,1,Africa
949,The Church of All Worlds,1,Americas
948,Christianity in Ephesus,1,Asia
946,Nyingma (rnying ma),1,Asia
945,Vasco-Aquitanian Religion,1,Europe
944,Mohyla's Ukrainian Church,1,Europe
943,Moravian Missionaries in Nunatsiavut,1,Americas
942,African Methodist Episcopal Church,1,Africa
941,Chan Buddhists in early Qing period,1,Asia
940,Julio-Claudian Imperial Cult,1,Europe
939,Goodenough and Fergusson Islanders,1,Oceania-Australia
938,Ugarit,1,Asia
937,Vestal Virgins,1,Europe
935,Nigerian Pentecostalism,1,Africa
934,Mongolian Buddhism during the Revolutionary Period,1,Europe
933,Marcionites,1,Europe
931,The Society of Jesus (Jesuits) in Britain,1,Europe
929,Drikung Kagyu,1,Asia
928,The Ghost Dance Movement and the Lakota Sioux,1,Americas
927,Zealots,1,Asia
926,Ladakhi Buddhism,1,Asia
925,Rabbinic Judaism (Babylonia),1,Asia
924,Muridiyya of Senegal,1,Africa
921,Bhils,1,Asia
919,Catholicism in contemporary Croatia,1,Europe
918,Fangshi,1,Asia
915,Protestantism welcoming People with Disabilities,1,Americas
914,Tariqa Shadhiliyya,1,Africa
910,Christian Base Community movement,1,Americas
908,Sino-Christian Theology,1,Asia
906,The Church of England,1,Europe
903,The Buddhist community on Mount Lu during early medieval China,1,Asia
900,Pharisees,1,Asia
899,Nahdlatul Ulama (NU),1,Asia
898,Rastafari of Jamaica,1,Americas
897,Gaengjeongyudo,1,Asia
896,Sannō Shintō,1,Asia
894,Universal Fellowship of Metropolitan Community Churches,1,Americas
893,Sethian Gnostic,1,Europe
892,Charismatic Renewal Movement in Christianity - Second Wave Pentecostalism,1,Americas
891,Peruvian Mormons,1,Americas
888,Céli Dé monks,1,Europe
887,Postsocialist Mongolian Shamanism,1,Europe
886,Pushtimarg (The Path of Grace) in the UK and Gujarat,1,Europe
885,Contemporary West African Vodun,1,Africa
884,Sub Saharan Africa Pentecostalism,1,Africa
883,Catholics in the People's Republic of China (PRC),1,Europe
882,Orphism,1,Europe
880,Egyptian Salafism (inluding North Africa and West Asia),1,Asia
879,Free Methodist Church,1,Africa
877,The International Network of Engaged Buddhists - INEB,1,Asia
873,The Branch Davidians,1,Americas
871,Spiritualism,1,Americas
870,Postsocialist Mongolian Buddhism,1,Europe
869,Sichuan Esoteric Buddhist Cult,1,Asia
867,Nyingma Treasure,1,Asia
866,Taigu School,1,Asia
863,Orphism,1,Europe
862,Ilm-e-Khshnoom,1,Asia
860,Kimpa Vita,1,Africa
859,Valentinians,1,Europe
858,"The New Prophecy or ""Montanism""",1,Europe
857,Wesleyanism,1,Africa
855,Middle-Class Migrant Muslims in the UAE,1,Asia
854,pre-Christian Irish,1,Europe
853,Pre-Christian Religion / Paganism in Northern Britain (Pictland / Scotland),1,Europe
852,Pre-Christian Religion / Paganism in Ireland,1,Europe
851,Sikhism in the United States,1,Americas
850,Pre-Christian Religion / Paganism in Gaul,1,Europe
849,"""Gaiwiio Religion,"" ""Longhouse Religion,"" or ""The Way of Handsome Lake"" of the Seneca Tribe",1,Americas
848,Sadducees,1,Asia
846,Xuanzang's Yogācāra Tradition,1,Asia
843,Bnay Qyāmā and Bnāt Qyāmā,1,Asia
842,American Evangelicalism,1,Americas
841,Sa skya,1,Asia
839,19th century German Protestantism,1,Europe
833,Dobu,1,Americas
826,"The Church of Christ, Scientist",1,Europe
812,Temple of the Jedi Order,1,Africa
802,Chinese Nunnery in Myanmar,1,Asia
794,Omaha,1,Americas
788,The Late Bronze Age City-State of Ugarit,1,Asia
771,Muscular Christianity,1,Europe
770,Thai Forest Tradition,1,Asia
769,Wogeo,1,Americas
768,Mundurucu,1,Americas
766,Garo,1,Asia
765,The Oneida Community,1,Americas
764,Timbira (Canela),1,Americas
763,Moriori,1,Oceania-Australia
759,Comanche,1,Americas
757,Kiribati,1,Oceania-Australia
755,Uyghur Islam,1,Europe
752,Haroi,1,Asia
750,Mekeo,1,Oceania-Australia
749,Korean shamanism,1,Asia
748,Lamet,1,Asia
745,Buka,1,Oceania-Australia
742,Thai Bhikkhunis,1,Asia
739,Lakalai,1,Oceania-Australia
738,Ancient Egyptian,1,Africa
737,Nama Hottentot,1,Africa
736,Jivaro,1,Americas
733,Kaska,1,Americas
