entry_id,entrytag_path,ids,depth
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Bihari[29412]->Tharuic[30779]->Unclassified Tharu[32584],"[1747, 1904, 2479, 4034, 5357, 29412, 30779, 32584]",8
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406]->Sindhi-Lahnda[30754]->Lahnda[32525]->Siraikic[34110],"[1747, 1904, 2479, 4034, 5357, 29406, 30754, 32525, 34110]",9
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northern zone[29408]->Central Pahari[30766],"[1747, 1904, 2479, 4034, 5357, 29408, 30766]",7
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406],"[1747, 1904, 2479, 4034, 5357, 29406]",6
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Northwestern zone[9715],"[1747, 1904, 2479, 4034, 5357, 6751, 8297, 9715]",8
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406]->Sindhi-Lahnda[30754]->Eastern Panjabic[32524],"[1747, 1904, 2479, 4034, 5357, 29406, 30754, 32524]",8
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Northwestern zone[9715]->Sindhi-Lahnda[10938]->Greater Panjabic[11897],"[1747, 1904, 2479, 4034, 5357, 6751, 8297, 9715, 10938, 11897]",10
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751],"[1747, 1904, 2479, 4034, 5357, 6751]",6
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034],"[1747, 1904, 2479, 4034]",4
191,Language[1747]->Indo-European[1904],"[1747, 1904]",2
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Bihari[29412]->Tharuic[30779]->Unclassified Tharu[32584]->Majhi[34286],"[1747, 1904, 2479, 4034, 5357, 29412, 30779, 32584, 34286]",9
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479],"[1747, 1904, 2479]",3
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Northwestern zone[9715]->Sindhi-Lahnda[10938]->Greater Panjabic[11897]->Eastern Panjabic[12772],"[1747, 1904, 2479, 4034, 5357, 6751, 8297, 9715, 10938, 11897, 12772]",11
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Northwestern zone[9715]->Sindhi-Lahnda[10938]->Greater Panjabic[11897]->Eastern Panjabic[12772]->Eastern Panjabi[13468],"[1747, 1904, 2479, 4034, 5357, 6751, 8297, 9715, 10938, 11897, 12772, 13468]",12
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406]->Sindhi-Lahnda[30754],"[1747, 1904, 2479, 4034, 5357, 29406, 30754]",7
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Bihari[29412]->Tharuic[30779],"[1747, 1904, 2479, 4034, 5357, 29412, 30779]",7
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northern zone[29408]->Central Pahari[30766]->Garhwali[32552],"[1747, 1904, 2479, 4034, 5357, 29408, 30766, 32552]",8
191,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northern zone[29408]->Central Pahari[30766]->Garhwali[32552]->Rathi[34182],"[1747, 1904, 2479, 4034, 5357, 29408, 30766, 32552, 34182]",9
